Episodes,Emition_Date,Users,Rank,Title,Score
TV (28 eps),Sep 2023 -,"500,460",1,Sousou no Frieren,9.13
TV (64 eps),Apr 2009 - Jul 2010,"3,294,991",2,Fullmetal Alchemist: Brotherhood,9.09
TV (24 eps),Apr 2011 - Sep 2011,"2,527,835",3,Steins;Gate,9.07
TV (51 eps),Apr 2015 - Mar 2016,"620,968",4,Gintama°,9.06
TV (10 eps),Apr 2019 - Jul 2019,"2,229,725",5,Shingeki no Kyojin Season 3 Part 2,9.05
TV (148 eps),Oct 2011 - Sep 2014,"2,778,988",6,Hunter x Hunter (2011),9.04
TV (13 eps),Oct 2022 - Dec 2022,"516,729",7,Bleach: Sennen Kessen-hen,9.03
TV (51 eps),Apr 2011 - Mar 2012,"547,852",8,Gintama',9.03
TV (13 eps),Oct 2012 - Mar 2013,"320,940",9,Gintama': Enchousen,9.02
TV (13 eps),Apr 2022 - Jun 2022,"897,905",10,Kaguya-sama wa Kokurasetai: Ultra Romantic,9.02
TV (13 eps),Apr 2021 - Jun 2021,"464,366",11,Fruits Basket: The Final,8.98
TV (12 eps),Jan 2017 - Mar 2017,"310,029",12,Gintama.,8.98
TV (201 eps),Apr 2006 - Mar 2010,"1,053,341",13,Gintama,8.94
TV (24 eps),Oct 2008 - Mar 2009,"1,180,061",14,Clannad: After Story,8.93
TV (22 eps),Oct 2017 - Mar 2018,"396,741",15,3-gatsu no Lion 2nd Season,8.92
TV (25 eps),Apr 2008 - Sep 2008,"1,757,811",16,Code Geass: Hangyaku no Lelouch R2,8.91
TV (14 eps),Jul 2018 - Oct 2018,"195,167",17,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.88
TV (74 eps),Apr 2004 - Sep 2005,"1,088,468",18,Monster,8.88
TV (23 eps),Jul 2023 - Dec 2023,"813,828",19,Jujutsu Kaisen 2nd Season,8.87
TV (7 eps),Aug 2017 - Aug 2017,"393,683",20,Owarimonogatari 2nd Season,8.87
TV (26 eps),Apr 2020 - Oct 2021,"98,884",21,Kingdom 3rd Season,8.82
TV (24 eps),Oct 2023 -,"257,882",22,Kusuriya no Hitorigoto,8.81
TV (12 eps),Jan 2018 - Mar 2018,"209,421",23,Gintama.: Shirogane no Tamashii-hen,8.81
TV (12 eps),Oct 2022 - Dec 2022,"527,582",24,Bocchi the Rock!,8.80
TV (24 eps),Jan 2023 - Jun 2023,"563,187",25,Vinland Saga Season 2,8.80
TV (13 eps),Jan 2019 - Apr 2019,"1,500,963",26,Mob Psycho 100 II,8.79
TV (16 eps),Dec 2020 - Mar 2021,"1,955,557",27,Shingeki no Kyojin: The Final Season,8.79
TV (10 eps),Oct 2016 - Dec 2016,"1,183,493",28,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.78
TV (75 eps),Oct 2000 - Mar 2002,"580,074",29,Hajime no Ippo,8.77
TV (11 eps),Dec 2021 - Feb 2022,"1,377,660",30,Kimetsu no Yaiba: Yuukaku-hen,8.77
TV (12 eps),Jan 2022 - Apr 2022,"1,248,639",31,Shingeki no Kyojin: The Final Season Part 2,8.77
TV (26 eps),Jul 2013 - Dec 2013,"663,187",32,Monogatari Series: Second Season,8.76
TV (24 eps),Jul 2019 - Dec 2019,"1,469,496",33,Vinland Saga,8.75
TV (26 eps),Apr 1998 - Apr 1999,"1,838,342",34,Cowboy Bebop,8.75
TV (26 eps),Apr 2022 - Oct 2022,"60,461",35,Kingdom 4th Season,8.74
TV (10 eps),Oct 2014 - Dec 2014,"262,909",36,Mushishi Zoku Shou 2nd Season,8.73
TV (13 eps),Jan 2024 -,"104,700",37,Boku no Kokoro no Yabai Yatsu Season 2,8.73
TV (47 eps),Oct 1980 - Aug 1981,"50,825",38,Ashita no Joe 2,8.72
TV (12 eps),Jan 2017 - Mar 2017,"185,682",39,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.72
TV (12 eps),Oct 2022 - Dec 2022,"645,795",40,Mob Psycho 100 III,8.71
TV (? eps),Oct 1999 -,"2,306,459",41,One Piece,8.71
TV (11 eps),Apr 2023 - Jun 2023,"735,786",42,"""Oshi no Ko""",8.71
TV (12 eps),Oct 2021 - Mar 2022,"479,194",43,86 Part 2,8.70
TV (13 eps),Jul 2023 - Sep 2023,"246,486",44,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.70
TV (25 eps),Oct 2006 - Jul 2007,"2,222,223",45,Code Geass: Hangyaku no Lelouch,8.70
TV (10 eps),Apr 2014 - Jun 2014,"296,726",46,Mushishi Zoku Shou,8.69
TV (43 eps),Jun 1999 - Sep 2000,"815,545",47,Great Teacher Onizuka,8.69
TV (? eps),Jan 2024 -,"23,257",48,Kingdom 5th Season,8.68
TV (12 eps),Oct 2021 - Dec 2021,"884,207",49,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.68
TV (13 eps),Apr 2021 - Jun 2021,"420,024",50,Odd Taxi,8.67
TV (13 eps),Jan 2018 - Apr 2018,"1,750,596",51,Violet Evergarden,8.67
TV (26 eps),Jan 2009 - Jul 2009,"281,437",52,Hajime no Ippo: New Challenger,8.67
TV (11 eps),Jul 2023 - Sep 2023,"162,533",53,Bungou Stray Dogs 5th Season,8.66
TV (26 eps),Oct 2005 - Jun 2006,"819,454",54,Mushishi,8.66
TV (13 eps),Jul 2017 - Sep 2017,"1,355,168",55,Made in Abyss,8.65
TV (12 eps),Jul 2022 - Sep 2022,"426,923",56,Made in Abyss: Retsujitsu no Ougonkyou,8.64
TV (13 eps),Jan 2012 - Mar 2012,"242,729",57,Natsume Yuujinchou Shi,8.64
TV (22 eps),Oct 2014 - Mar 2015,"2,180,889",58,Shigatsu wa Kimi no Uso,8.64
TV (12 eps),Apr 2020 - Jun 2020,"1,317,969",59,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.63
TV (25 eps),Oct 2015 - Mar 2016,"1,407,951",60,Haikyuu!! Second Season,8.63
TV (27 eps),Apr 2007 - Sep 2007,"1,593,295",61,Tengen Toppa Gurren Lagann,8.63
TV (11 eps),Apr 2017 - Jun 2017,"183,784",62,Natsume Yuujinchou Roku,8.62
TV (11 eps),Apr 2014 - Jun 2014,"388,379",63,Ping Pong the Animation,8.62
TV (12 eps),Jul 2018 - Oct 2018,"2,323,482",64,Shingeki no Kyojin Season 3,8.62
TV (37 eps),Oct 2006 - Jun 2007,"3,845,470",65,Death Note,8.62
TV (24 eps),Oct 2020 - Mar 2021,"2,460,340",66,Jujutsu Kaisen,8.62
TV (25 eps),Oct 2013 - Mar 2014,"255,195",67,Hajime no Ippo: Rising,8.60
TV (25 eps),Oct 1997 - Apr 1998,"645,084",68,Kenpuu Denki Berserk,8.58
TV (11 eps),Oct 2016 - Dec 2016,"183,599",69,Natsume Yuujinchou Go,8.57
